TPSA MW FC BJ
84.66 449.48 0.2400 1.6627
107.32 319.36 0.4375 2.5702
62.32 429.56 0.6667 1.2283
94.61 362.39 0.0667 1.9669
49.74 375.45 0.1818 1.6993
83.21 340.40 0.2778 2.0751
106.35 318.33 0.3333 1.7910
58.29 363.46 0.3810 1.3423
66.48 422.55 0.2083 1.9808
78.09 344.39 0.3889 1.7644
96.61 496.57 0.2857 1.2517
55.40 494.43 0.3333 1.8003
77.10 372.49 0.6471 2.1294
61.88 480.79 0.3333 1.7798
67.43 324.38 0.3333 2.2807
58.20 292.77 0.3333 1.9664
94.95 375.39 0.2000 1.5015
32.34 218.30 0.4615 1.7108
94.36 391.41 0.0000 1.4286
81.70 452.33 0.2105 2.0413
41.13 398.48 0.1923 1.6211
62.83 433.96 0.3333 1.5162
66.69 345.79 0.2353 1.6415
60.13 362.86 0.5000 1.7511
21.26 259.32 0.2500 1.7537
80.64 446.96 0.2727 1.6898
81.47 314.34 0.2353 2.1513
54.34 341.45 0.5000 1.7151
60.85 338.41 0.3000 1.9081
61.68 419.53 0.4583 1.2567
97.11 452.56 0.1818 1.5866
118.41 411.87 0.2353 2.2261
71.09 417.94 0.1053 1.4652
51.22 256.31 0.2000 1.8619
95.08 361.45 0.1875 1.7046
104.89 307.35 0.4667 1.9499
81.70 355.80 0.1333 2.0753
63.49 423.54 0.2609 1.7705
50.17 378.30 0.0556 1.8899
29.54 301.41 0.2353 2.3813
54.88 417.46 0.1905 1.6389
67.15 370.36 0.2222 1.4457
49.86 360.48 0.5000 1.3543
77.24 396.30 0.1765 1.9988
39.60 285.39 0.4706 1.6951
70.67 381.48 0.3636 1.4695
65.19 238.32 0.2000 2.2895
73.91 454.50 0.3600 1.5835
79.62 412.51 0.2273 1.9389
74.68 381.88 0.2778 2.4880
68.02 468.25 0.0556 1.6588
73.59 372.45 0.2632 1.9333
78.43 487.63 0.2593 1.3725
67.43 390.89 0.2105 1.8563
120.14 336.38 0.4615 1.5926
71.74 378.43 0.2857 1.5256
65.44 316.36 0.0526 1.8424
49.41 341.22 0.0714 2.4245
84.25 366.42 0.3500 1.6576
50.69 331.17 0.0667 2.0282
55.40 387.84 0.2381 1.8217
60.03 412.53 0.4583 1.8968
88.16 401.88 0.0526 1.6514
71.34 346.80 0.0000 1.7055
105.53 427.45 0.3043 2.1279
64.63 355.84 0.2500 1.9902
33.95 372.52 0.3333 1.3605
66.92 336.35 0.2105 1.6527
46.84 337.40 0.3158 1.3566
89.13 435.53 0.3158 1.3867
78.51 341.29 0.2667 2.3816
98.27 393.79 0.0000 1.5615
67.43 406.87 0.0435 1.8586
72.95 431.68 0.0556 1.5490
77.50 450.85 0.0833 1.5896
55.40 359.83 0.1111 1.8496
65.33 418.52 0.3478 1.7377
88.91 419.53 0.5000 1.6067
27.30 337.92 0.5882 1.7112
56.79 337.38 0.1500 1.9699
67.23 408.59 0.5263 1.6286
85.47 337.33 0.2222 1.6878
48.47 384.53 0.2632 1.3894
87.72 316.31 0.2500 2.2385
57.54 365.43 0.2857 1.4080
78.35 330.36 0.3529 1.4688
53.01 334.46 0.6316 1.9996
59.23 321.81 0.4375 2.1401
48.00 429.56 0.2727 1.5509
76.07 473.50 0.2143 1.5356
42.57 225.29 0.1111 2.2688
43.35 298.73 0.0000 1.7596
70.16 383.51 0.6111 2.3326
41.57 403.32 0.3500 1.5999
28.16 299.44 0.2941 1.8018
55.20 309.30 0.1176 1.7371
63.83 370.46 0.1739 1.6905
106.60 493.95 0.1923 1.3906
34.14 256.69 0.0667 2.3377
67.26 263.32 0.1538 2.3995
65.38 323.78 0.3333 1.9518
59.81 426.97 0.2273 1.6101
85.61 337.33 0.1053 1.8760
110.80 460.55 0.3913 1.4881
66.48 485.71 0.1875 2.2471
65.55 402.88 0.4000 1.5838
76.38 363.48 0.6667 1.4708
23.55 312.39 0.3158 1.6743
55.81 363.89 0.6316 1.3939
74.77 351.38 0.2632 1.6652
51.02 424.96 0.2273 1.3662
57.70 253.31 0.2143 1.7682
66.40 325.39 0.1111 1.8110
57.38 296.33 0.1765 1.9686
71.36 394.35 0.2632 2.0569
127.64 435.50 0.3500 2.0330
27.05 298.41 0.2353 1.8340
75.71 437.73 0.1875 2.1281
57.12 343.77 0.1111 1.9864
103.88 469.54 0.4583 1.4311
97.37 427.53 0.4091 1.6477
60.90 336.37 0.2222 1.9964
61.88 346.43 0.3810 1.4544
60.93 427.50 0.2692 1.1777
61.88 310.38 0.0625 1.8348
41.13 302.37 0.1250 2.0307
29.10 361.51 0.1739 1.6113
77.52 354.81 0.2667 2.2273
83.09 443.54 0.5200 2.1170
137.35 420.38 0.1429 1.9772
47.56 275.33 0.2143 1.5559
80.12 419.53 0.4167 1.8645
59.06 264.28 0.0625 2.0098
21.70 325.88 0.6667 1.6835
54.88 273.36 0.2143 1.8156
69.40 379.44 0.1905 1.8274
72.72 409.49 0.4091 1.5209
64.63 431.53 0.3333 1.6465
99.93 374.39 0.3158 2.2261
89.43 435.47 0.4091 2.3105
79.18 384.52 0.5455 1.6124
32.78 360.47 0.6667 1.4806
49.58 403.47 0.5455 1.4580
55.12 240.31 0.1333 2.2419
133.85 400.78 0.0556 1.8733
91.22 411.46 0.1905 1.7316
70.47 375.50 0.5000 1.5344
73.91 417.54 0.2609 1.4336
54.02 253.71 0.0000 1.9726
90.14 376.46 0.2500 1.6108
44.61 423.61 0.6000 1.2667
39.08 349.48 0.3182 1.9089
83.56 217.23 0.2000 2.1049
75.71 424.52 0.2609 1.7149
49.77 377.87 0.0588 1.9692
59.81 384.48 0.2500 1.6679
71.55 495.62 0.5000 1.4940
81.42 346.45 0.3333 2.2004
49.41 288.80 0.5000 2.1844
69.72 385.51 0.5909 1.7767
72.70 367.48 0.2632 1.5879
98.29 418.56 0.5238 1.8077
65.54 384.45 0.3810 1.5960
95.71 454.32 0.5263 1.5926
45.81 459.38 0.0000 1.5468
59.59 330.41 0.1765 2.0667
69.67 435.30 0.1053 2.0414
81.70 391.49 0.6500 1.7138
83.91 313.38 0.5000 2.1996
46.92 299.76 0.1250 1.7545
57.00 429.52 0.3077 1.2727
48.71 396.31 0.0526 1.8094
72.70 433.99 0.2632 1.4167
59.39 330.43 0.5556 1.7573
65.74 382.39 0.2727 1.5932
46.39 309.34 0.1111 1.8221
78.51 301.22 0.2500 2.0308
99.93 329.29 0.0667 2.0748
84.50 460.50 0.1481 1.5594
105.64 424.46 0.0000 1.7293
29.10 256.14 0.3636 2.8218
29.54 344.22 0.5333 1.8469
50.85 423.56 0.4800 1.3228
73.83 400.46 0.4500 1.3835
60.33 348.40 0.2381 1.8148
118.85 471.47 0.1154 1.4707
28.16 281.47 0.8000 1.6777
75.94 382.51 0.6190 1.4767
49.41 365.27 0.5294 1.6067
79.37 407.50 0.1818 1.6712
45.59 374.48 0.2917 1.5739
58.64 344.80 0.2222 1.6746
67.43 352.31 0.1765 1.8939
71.09 283.33 0.1875 1.7719
94.48 464.57 0.4231 1.7504
64.78 357.44 0.4706 1.4309
103.55 481.98 0.3000 1.5294
97.41 495.58 0.4444 1.3986
75.71 362.45 0.2778 2.2854
56.98 370.50 0.6500 1.6244
76.46 466.97 0.3200 1.2654
41.37 436.64 0.6296 1.1293
61.88 430.94 0.2400 1.3084
106.92 325.40 0.0625 1.6360
89.07 338.37 0.2941 1.5543
30.93 263.34 0.6000 1.7667
55.84 351.45 0.3750 1.6945
71.34 368.82 0.1000 1.6649
54.46 311.45 0.7333 1.6936
66.48 415.29 0.2500 1.8611
66.48 459.25 0.1875 2.2683
64.35 262.35 0.5333 2.3535
96.57 492.60 0.3077 1.3884
110.51 344.42 0.6250 1.5757
76.66 356.42 0.3000 1.8719
67.35 412.56 0.4091 1.7449
64.36 377.23 0.1111 1.6238
78.35 390.55 0.6500 1.8879
67.43 392.48 0.1364 1.5832
76.48 320.40 0.2778 1.6796
114.32 272.22 0.0000 2.0429
93.56 458.21 0.0000 1.7818
69.68 428.49 0.1538 1.7902
26.79 423.64 0.7407 1.1316
48.47 336.85 0.3333 1.4815
59.98 482.05 0.3200 1.4838
62.30 337.47 0.4000 1.7723
55.11 281.36 0.3125 2.0231
32.78 438.53 0.7083 1.2848
71.78 392.45 0.3043 1.3480
78.62 410.30 0.4000 2.2185
77.87 405.48 0.2174 1.5460
73.39 320.39 0.5625 2.2735
85.13 373.46 0.1765 1.4969
62.12 371.23 0.1111 2.2478
96.30 497.79 0.1000 1.7422
60.36 430.55 0.2857 1.5617
94.17 484.57 0.2400 1.9802
81.14 279.30 0.0000 2.1616
95.52 341.37 0.2778 1.8472
87.24 337.38 0.1579 1.7312
46.92 337.40 0.2000 1.8476
63.94 488.63 0.4333 1.3843
50.60 442.56 0.4074 1.3020
92.60 495.56 0.0357 1.2713
62.47 396.54 0.6087 1.4437
75.48 311.34 0.2353 1.7170
72.47 429.39 0.1739 1.4601
29.10 253.34 0.2353 1.8694
98.72 301.10 0.3750 2.3654
73.66 357.48 0.8125 1.8453
62.55 364.44 0.3636 2.0030
78.94 335.36 0.3125 1.8781
78.49 366.45 0.2778 2.0184
58.97 350.83 0.1875 2.0136
68.20 382.39 0.1905 1.8867
113.22 469.47 0.3333 1.6574
73.91 312.37 0.2222 1.8300
59.41 425.57 0.5200 1.1768
81.18 391.86 0.2632 2.0103
75.71 340.44 0.5625 2.3389
41.99 252.73 0.0909 1.9458
47.89 450.38 0.1579 1.8544
73.59 374.40 0.0909 1.5343
